ROI_name	x	y	z	inner_radius	outer_radius	network	network_name
232_CortexRight	28.56	-4.62	53.99	5	6	5	DorsalAttention
233_CortexRight	46.09	-58.93	3.93	5	6	5	DorsalAttention
234_CortexLeft	-31.13	-9.99	-36.32	5	6	17	MedialTemporalLobe
235_CortexRight	32.85	-12.41	-34.41	5	6	17	MedialTemporalLobe
236_Hippocampus	-25.57	-11.78	-21.54	4	5	17	MedialTemporalLobe
237_Hippocampus	24.73	-11.25	-22.68	4	5	17	MedialTemporalLobe
238_Hippocampus	-25.24	-38.78	-2.01	4	5	1	DefaultMode
239_Hippocampus	25.08	-37.18	-2.16	4	5	1	DefaultMode
240_CortexLeft	-30.63	18.71	-18.98	5	6	4	Reward
241_CortexLeft	-21.14	40.87	-20.48	5	6	4	Reward
242_CortexRight	23.96	31.94	-17.78	5	6	4	Reward
243_CortexRight	27.06	16.22	-16.93	5	5	4	Reward
244_Amygdala	-20.3	-2.27	-22.21	4	5	4	Reward
245_Amygdala	19.51	-1.85	-23.11	4	5	4	Reward
246_BG	12.66	17.32	-5.06	4	5	4	Reward
247_BG	-12.49	17.05	-4.49	4	5	4	Reward
248_BG	11.87	17.51	6.57	4	5	1	DefaultMode
249_BG	-13.28	17.24	7.14	4	5	1	DefaultMode
250_BG	14.15	-1.19	18.18	4	5	3	FrontoParietal
251_BG	-15.19	-1.5	18.84	4	5	3	FrontoParietal
252_BG	28.56	-7.53	7.66	4	4	10	SomatomotorDorsal
253_BG	-28.02	-10.23	9.07	4	5	10	SomatomotorDorsal
254_BG	28.28	-6.7	-5.06	4	5	10	SomatomotorDorsal
255_BG	-28.31	-10.45	-3.6	4	4	10	SomatomotorDorsal
256_BG	25.26	1.75	-1.26	4	4	10	SomatomotorDorsal
257_BG	-28.26	-0.97	-3.09	4	4	10	SomatomotorDorsal
258_BG	25.46	5.05	7	4	4	10	SomatomotorDorsal
259_BG	-24.83	7.67	7.95	4	5	10	SomatomotorDorsal
260_BG	18.88	-4.68	-3.91	4	4	10	SomatomotorDorsal
261_BG	-18.84	-5.08	-3.06	4	5	10	SomatomotorDorsal
262_Thal	3.42	-7.79	8.23	4	3	1	DefaultMode
263_Thal	-2.88	-9.96	8.5	4	3	1	DefaultMode
264_Thal	18.89	-28.79	0.66	4	5	2	Visual
265_Thal	-18.84	-29.18	1.51	4	5	2	Visual
266_Thal	12.9	-13.94	11.55	4	4	9	CinguloOpercular
267_Thal	-15.39	-14.24	12.19	4	4	9	CinguloOpercular
268_Thal	9.56	-7.84	1.76	4	5	9	CinguloOpercular
269_Thal	-9.35	-10.17	0.2	4	5	9	CinguloOpercular
270_Thal	13.67	-19.39	0.23	4	4	10	SomatomotorDorsal
271_Thal	-13.57	-19.67	0.84	4	5	10	SomatomotorDorsal
272_Thal	15.95	-22.37	8.8	4	4	10	SomatomotorDorsal
273_Thal	-18.63	-22.73	9.59	4	4	10	SomatomotorDorsal
274_Cerebellum	32	-49	-51	4	5	0	unassigned
275_Cerebellum	-13	-52	-50	4	5	0	unassigned
276_Cerebellum	14	-48	-52	4	5	0	unassigned
277_Cerebellum	-32	-78	-38	4	5	1	DefaultMode
278_Cerebellum	32	-81	-38	4	5	1	DefaultMode
279_Cerebellum	-24	-76	-28	4	5	1	DefaultMode
280_Cerebellum	24	-76	-28.01	4	5	1	DefaultMode
281_Cerebellum	-5.72	-50.8	-40.84	4	5	1	DefaultMode
282_Cerebellum	8	-50	-40	4	5	1	DefaultMode
283_Cerebellum	0	-74	-25	4	5	2	Visual
284_Cerebellum	-10	-78	-28	4	5	3	FrontoParietal
285_Cerebellum	10	-78	-28	4	5	3	FrontoParietal
286_Cerebellum	-34	-72.01	-48	4	5	3	FrontoParietal
287_Cerebellum	34	-72	-48	4	5	3	FrontoParietal
288_Cerebellum	-30.5	-66	-30	4	5	3	FrontoParietal
289_Cerebellum	31.68	-62.83	-30.4	4	5	3	FrontoParietal
290_Cerebellum	40	-44	-38	4	5	3	FrontoParietal
291_Cerebellum	43.5	-60	-30	4	5	9	CinguloOpercular
292_Cerebellum	-43.5	-60	-30	4	5	9	CinguloOpercular
293_Cerebellum	-34	-42	-44	4	4	9	CinguloOpercular
294_Cerebellum	-33	-51	-50	4	4	10	SomatomotorDorsal
295_Cerebellum	-6	-74	-42	4	5	10	SomatomotorDorsal
296_Cerebellum	7.5	-72	-39	4	5	10	SomatomotorDorsal
297_Cerebellum	-10	-62	-18	4	5	10	SomatomotorDorsal
298_Cerebellum	10	-62	-18	4	5	10	SomatomotorDorsal
299_Cerebellum	-12	-44	-18	4	5	10	SomatomotorDorsal
300_Cerebellum	12	-44	-18	4	4	10	SomatomotorDorsal
